       R,          E
0.755890,-0.98181100
0.850377,-1.05535400
0.944863,-1.10412400
1.039349,-1.13595700
1.133836,-1.15595300
1.230212,-1.16770642
1.228322,-1.16754300
1.233991,-1.16802674
1.237771,-1.16833764
1.241550,-1.16863932
1.245330,-1.16893187
1.249109,-1.16921540
1.252888,-1.16949004
1.256668,-1.16975589
1.260447,-1.17001306
1.264227,-1.17026167
1.268006,-1.17050185
1.271786,-1.17073366
1.275565,-1.17095734
1.279345,-1.17117272
1.283124,-1.17138016
1.286903,-1.17157969
1.290683,-1.17177140
1.294462,-1.17195539
1.298242,-1.17213186
1.302021,-1.17230066
1.305801,-1.17246209
1.309580,-1.17261616
1.313360,-1.17276304
1.317139,-1.17290277
1.320919,-1.17303546
1.324698,-1.17316119
1.322808,-1.17309900
1.328477,-1.17328006
1.332257,-1.17339222
1.336036,-1.17349753
1.339816,-1.17359631
1.343595,-1.17368863
1.347375,-1.17377441
1.351154,-1.17385488
1.354934,-1.17392819
1.358713,-1.17399511
1.362493,-1.17405601
1.366272,-1.17411087
1.370051,-1.17415977
1.373831,-1.17420278
1.377610,-1.17424000
1.381390,-1.17427150
1.385169,-1.17429740
1.388949,-1.17431759
1.392728,-1.17433230
1.396508,-1.17434161
1.400287,-1.17434555
1.404067,-1.17434414
1.407846,-1.17433753
1.411625,-1.17432571
1.415405,-1.17430900
1.419184,-1.17428696
1.417295,-1.17429900
1.422964,-1.17426008
1.426743,-1.17422829
1.430523,-1.17419174
1.434302,-1.17415038
1.438082,-1.17410428
1.441861,-1.17405349
1.445640,-1.17399800
1.449420,-1.17393810
1.453199,-1.17387372
1.456979,-1.17380492
1.460758,-1.17373176
1.464538,-1.17365441
1.468317,-1.17357258
1.472097,-1.17348667
1.475876,-1.17339663
1.479656,-1.17330251
1.483435,-1.17320435
1.487214,-1.17310222
1.490994,-1.17299616
1.494773,-1.17288622
1.498553,-1.17277247
1.502332,-1.17265509
1.506112,-1.17253381
1.509891,-1.17240890
1.513671,-1.17228021
1.511781,-1.17234500
1.517450,-1.17214808
1.521230,-1.17201242
1.525009,-1.17187341
1.528788,-1.17173078
1.532568,-1.17158473
1.536347,-1.17143540
1.540127,-1.17128292
1.543906,-1.17112697
1.547686,-1.17096781
1.551465,-1.17080555
1.555245,-1.17064016
1.559024,-1.17047168
1.562804,-1.17030015
1.566583,-1.17012564
1.570362,-1.16994815
1.574142,-1.16976774
1.577921,-1.16958443
1.581701,-1.16939831
1.585480,-1.16920936
1.589260,-1.16901765
1.593039,-1.16882320
1.596819,-1.16862608
1.600598,-1.16842629
1.604377,-1.16822389
1.608157,-1.16801911
1.606267,-1.16812200
1.611936,-1.16781139
1.615716,-1.16760134
1.619495,-1.16738883
1.623275,-1.16717386
1.700754,-1.16228300
1.795240,-1.15531800
1.889726,-1.14759900
1.984212,-1.13940600
2.078699,-1.13095900
2.173185,-1.12242300
2.267671,-1.11392900
2.362158,-1.10557600
2.456644,-1.09744300
2.551130,-1.08958900
2.645617,-1.08206000
2.740103,-1.07488900
2.834589,-1.06809900
2.929075,-1.06170900
3.023562,-1.05572500
3.118048,-1.05015300
3.212534,-1.04498900
3.307021,-1.04022800
3.401507,-1.03586000
3.495993,-1.03187100
3.590480,-1.02824600
3.684966,-1.02496500
3.779452,-1.02201000
3.873939,-1.01935700
3.968425,-1.01698700
4.062911,-1.01487600
4.157397,-1.01300300
4.251884,-1.01134700
4.346370,-1.00988500
4.440856,-1.00860000
4.535343,-1.00747300
4.629829,-1.00648600
4.724315,-1.00562300
4.818802,-1.00487200
4.913288,-1.00421700
5.007774,-1.00364800
5.102261,-1.00315400
5.196747,-1.00272600
5.291233,-1.00235500
5.385719,-1.00203400
5.480206,-1.00175700
5.574692,-1.00151700
5.669178,-1.00131000
5.763665,-1.00113100
5.858151,-1.00097600
5.952637,-1.00084300
6.047124,-1.00072800
6.141610,-1.00062900
6.236096,-1.00054400
6.330583,-1.00047000
6.425069,-1.00040700
6.519555,-1.00035200
6.614041,-1.00030500
