time(s),M_x,M_y
0.0,19537.942460282888,4434.141528859819
0.00016,18755.79347435335,6786.667741687197
0.00032,17481.528059731307,8931.91015611689
0.00048000000000000007,15984.533787598457,10797.280597151432
0.00064,14058.582508176294,12316.157883793494
0.0008,11951.032426644693,13531.256190335918
0.0009600000000000001,9615.849720910457,14276.49164693067
0.0011200000000000001,7337.406486256301,14524.320622447101
0.00128,5098.258882115223,14223.575301535431
0.00144,3140.5392845304627,13485.097560970828
0.0016,1553.506500813886,12330.054670395904
0.00176,364.64750843802307,10871.159132679462
0.0019200000000000003,-378.8229870037429,9296.15731325061
0.0020800000000000003,-659.5270149435703,7640.699411268193
0.0022400000000000002,-551.671532902554,6049.651905691033
0.0024000000000000002,-57.60752667264187,4666.669403964337
0.00256,723.1239168591623,3565.2929306549563
0.00272,1720.342253047393,2744.6993746172734
0.00288,2819.670151186673,2278.2999401117777
0.00304,3973.7677253910115,2135.1193237185544
0.0032,5045.761520863831,2284.9050633759084
0.00336,5981.0095074086175,2683.492289040097
0.00352,6776.432344447099,3290.2411400176115
0.00368,7361.83671364889,4040.458370123643
0.0038400000000000005,7732.135413111785,4872.722206713301
0.004,7947.190679564028,5848.790368525271
0.0041600000000000005,7850.83296054403,6792.64278747591
0.00432,7685.364602167457,7740.731957494256
0.0044800000000000005,7361.494844714008,8557.985122140686
0.00464,6920.9493575857705,9248.759254329445
0.0048000000000000004,6478.744546950996,9959.810192031253
0.00496,5925.336347881284,10530.600273837264
0.00512,5431.763027654805,11061.78492687861
0.005280000000000001,4913.892666626586,11513.164618668894
0.00544,4372.593729802165,12016.293565022563
0.005600000000000001,3694.773042125595,12448.48348824731
0.00576,3004.2763827592767,12927.700041841312
0.005920000000000001,2224.948497897482,13427.270261411475
0.00608,1379.8889226748477,13854.178311411906
0.006240000000000001,447.3660798937734,14229.43690353691
0.0064,-581.1500133760192,14523.327459346461
0.006560000000000001,-1728.7227456522228,14819.418737286886
0.00672,-2955.759125226644,14838.460389334967
0.006880000000000001,-4258.988470091122,14791.152792485858
0.00704,-5562.798198793528,14494.099621498264
0.007200000000000001,-6970.88965274811,14001.690780958645
0.00736,-8407.804681078127,13194.685468804919
0.007520000000000001,-9760.281530659327,12184.105057559967
0.007680000000000001,-10858.75504759952,10933.018085600565
0.007840000000000001,-11801.090991780755,9533.234576271072
0.008,-12499.561105368954,7980.8853767698265
0.00816,-12778.530741658169,6294.599296195739
0.008320000000000001,-12873.658584091587,4615.094941448454
0.008480000000000001,-12574.202613825135,2961.862872259577
0.00864,-11956.720828760253,1440.455859217341
0.0088,-10987.901924200083,78.99640701133745
0.008960000000000001,-9865.105473361795,-1038.0873316785517
0.009120000000000001,-8563.96087757856,-1836.386031045129
0.00928,-7094.163645745128,-2218.3295273766207
0.00944,-5661.63599606654,-2224.2810819584492
0.009600000000000001,-4304.903098419259,-1872.5610885439937
0.009760000000000001,-3166.407634146489,-1196.567856637018
0.00992,-2252.2858667697024,-233.61761417768616
0.01008,-1645.8800401814754,929.917256705069
0.01024,-1354.7815808046755,2180.637494714713
0.010400000000000001,-1454.615461657572,3464.344664067602
0.010560000000000002,-1881.8007115384587,4649.1140302039985
0.01072,-2652.0245709841756,5712.123403438778
0.01088,-3654.322839719731,6539.590257339394
0.011040000000000001,-4866.890337192106,7155.5670221001965
0.011200000000000002,-6187.712603536058,7448.601768314269
0.01136,-7609.3514146651705,7420.149304058428
0.01152,-8895.671339370218,7056.169502697556
0.011680000000000001,-10222.934026686195,6466.521149465442
0.011840000000000002,-11284.02818420498,5556.427432616198
0.012,-12237.899994108408,4514.897702028352
0.01216,-13011.768557063058,3237.5940973813813
0.012320000000000001,-13531.202329784117,1891.3457930069424
0.012480000000000002,-13785.850069354781,555.3476065436852
0.01264,-13885.388508704526,-858.7265446732691
0.0128,-13657.60399228697,-2152.340707469325
0.012960000000000001,-13353.387313321346,-3399.6013057342584
0.013120000000000001,-12817.769836787988,-4468.716436674598
0.013280000000000002,-12232.764536063169,-5373.228508116871
0.01344,-11585.670283304149,-6249.734302665037
0.013600000000000001,-10859.67275133924,-6996.966429962316
0.013760000000000001,-10080.025724511886,-7635.089825699975
0.013920000000000002,-9339.194760031054,-8244.719588432317
0.01408,-8569.936969644883,-8658.778403170616
0.014240000000000001,-7838.135180789643,-9068.749420380753
0.014400000000000001,-7100.54200880772,-9410.935795890115
0.014560000000000002,-6384.681160064825,-9665.54973614491
0.01472,-5645.34270604707,-9855.47942820235
0.01488,-4909.775782580836,-10052.239002150902
0.015040000000000001,-4137.640828843106,-10148.228395059557
0.015200000000000002,-3293.2841975079473,-10184.965412812331
0.015360000000000002,-2365.598441691648,-10121.355955565406
0.01552,-1443.0184842248314,-9994.582973687438
0.015680000000000003,-581.3533187629383,-9621.459552126462
0.01584,239.5193659452304,-9194.068758734375
0.016,950.8236483979622,-8518.943045634054
0.01616,1568.6739688297073,-7814.040035174564
0.01632,1988.087468615984,-6931.478777030697
0.01648,2208.283988581624,-6023.906079732289
0.016640000000000002,2204.1993298862926,-5041.922146032786
0.016800000000000002,1999.4372242963416,-4132.640367903887
0.016960000000000003,1553.4712731016266,-3270.6531763894563
0.01712,887.1185977696562,-2581.8192795986934
0.01728,54.60155290006714,-2108.8091993028934
0.01744,-933.3272755968187,-1859.326995984267
0.0176,-1963.100657926601,-1877.8019658820908
0.01776,-3006.905532826695,-2195.794791092542
0.017920000000000002,-3967.2126050986208,-2825.5564180455744
0.018080000000000002,-4780.382357484786,-3698.5777351283514
0.018240000000000003,-5353.620283095327,-4786.406742086407
